Unnamed: 0,summary,count
0,SMS byte,0
1,웹사이트 로그인 SMS,1
2,전송결과는 성공이지만 수신자가 메세지를 못받음,2
3,MMS 클릭 기능,3
4,MMS 클릭 기능,4
5,비밀번호 변경 문자,5
6,비밀번호 변경 문자,6
7,비밀번호 변경 문자,7
8,인증문자 수신자,8
9,후불* 선불 변경,9
10,전송중 또는 대기,10
11,080수신거부,11
12,080수신거부,12
13,서버 메세지 발송,13
14,SMS 서버 이전,14
15,발송결과는 성공* 수신자 문자 못받음,15
16,발송결과는 성공* 수신자 문자 못받음,16
17,중복된 번호,17
18,중복된 번호,18
19,중복된 번호,19
20,메일 머지,20
21,MMS,21
22,SMS 1건 전송 방법,22
23,MMS 비용,23
24,MMS 비용,24
25,회원가입(서비스신청),25
26,회원가입(서비스신청),26
27,회원가입(서비스신청),27
28,회원가입(서비스신청),28
29,회원가입(서비스신청),29
